Bureau of Justice Statistics,,,,,,,,,,,,,,,
Filename: cv17t12.csv,,,,,,,,,,,,,,,
"Table 12. Prevalence of violent crime, by demographic characteristics of victims, 2015, 2016, and 2017",,,,,,,,,,,,,,,
"Report title: Criminal Victimization, 2017   NCJ 252472",,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2015, 2016, and 2017 Public-Use Files",,,,,,,,,,,,,,,
"Authors: Rachel E. Morgan, Ph.D., and Jennifer L. Truman, Ph.D., BJS Statisticians",,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,
Date of version: 12/19/18,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Table 12. Prevalence of violent crime, by demographic characteristics of victims, 2015, 2016, and 2017",,,,,,,,,,,,,,,
,,Number of victims/a,,,,,,Prevalence rate/b,,,,,,,
Victim demographic characteristic,,2015*,2017,,2016*,2017,,2015*,,2017,,2016*,,2017,
,Total,"2,650,670","3,106,340", †,"2,882,320","3,106,340",,0.98,%,1.14,% †,1.06,%,1.14,%
Sex,,,,,,,,,,,,,,,
,Male,"1,227,870","1,551,030", †,"1,514,130","1,551,030",,0.94,,1.17, †,1.14,,1.17,%
,Female,"1,422,800","1,555,310",,"1,368,190","1,555,310", †,1.03,,1.11,,0.98,,1.11, †
Race/Hispanic origin/c,,,,,,,,,,,,,,,
,White,"1,667,090","2,005,120", †,"1,785,680","2,005,120", †,0.96,,1.17,% †,1.03,%,1.17,% †
,Black,"394,770","389,340",,"377,950","389,340",,1.19,,1.19,,1.12,,1.19,
,Hispanic,"400,720","496,370",,"488,700","496,370",,0.93,,1.09,,1.1,,1.09,
,Asian,"68,550","68,290",,"117,920","68,290", †,0.47,,0.41,,0.75,,0.41, †
,Other/d,"119,530","147,220",,"112,080","147,220",,2.27,,2.36,,2.03,,2.36,
Age,,,,,,,,,,,,,,,
,12–17,"407,850","459,160",,"313,470","459,160", †,1.64,,1.84,%,1.25,%,1.84,% †
,18–24,"445,760","495,760",,"461,310","495,760",,1.46,,1.66,,1.52,,1.66,
,25–34,"476,630","659,150", †,"689,590","659,150",,1.09,,1.49, †,1.56,,1.49,
,35–49,"686,380","647,610",,"706,000","647,610",,1.13,,1.06,,1.15,,1.06,
,50–64,"497,800","607,520", ‡,"541,330","607,520",,0.79,,0.97, ‡,0.85,,0.97,
,65 or older,"136,250","237,140", †,"170,640","237,140", †,0.29,,0.48, †,0.36,,0.48, †
Marital status,,,,,,,,,,,,,,,
,Never married,"1,343,010","1,610,610", †,"1,422,600","1,610,610", ‡,1.44,,1.67,% †,1.49,%,1.67,%  ‡
,Married,"692,470","780,050",,"827,920","780,050",,0.54,,0.61,,0.65,,0.61,
,Widowed,"92,330","105,930",,"88,310","105,930",,0.62,,0.71,,0.59,,0.71,
,Divorced,"428,830","489,130",,"408,710","489,130", ‡,1.58,,1.83,,1.5,,1.83, ‡
,Separated,"84,370","108,890",,"119,150","108,890",,1.65,,2.21,,2.37,,2.21,
Note: Details may not sum to totals due to rounding. See appendix table 14 for standard errors.,,,,,,,,,,,,,,,
*Comparison year.,,,,,,,,,,,,,,,
†Significant difference from comparison year at the 95% confidence level.,,,,,,,,,,,,,,,
‡Significant difference from comparison year at the 90% confidence level.,,,,,,,,,,,,,,,
a/Number of persons age 12 or older who experienced at least one violent victimization during the year.,,,,,,,,,,,,,,,
b/Percentage of persons age 12 or older who experienced at least one violent victimization during the year.,,,,,,,,,,,,,,,
"c/Excludes persons of Hispanic/Latino origin, unless specified.",,,,,,,,,,,,,,,
d/Includes American Indians and Alaska Natives; Native Hawaiians and Other Pacific Islanders; and persons of two or more races.,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2015, 2016, and 2017 Public-Use Files.",,,,,,,,,,,,,,,
