Bureau of Justice Statistics,,,,,,,
Filename: cv17f02.csv,,,,,,,
"Figure 2. Rate of violent victimization and violent victimization reported to police, 1993–2017",,,,,,,
"Report title: Criminal Victimization, 2017   NCJ 252472",,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993–2017 Public-Use File",,,,,,,
"Authors: Rachel E. Morgan, Ph.D., and Jennifer L. Truman, Ph.D., BJS Statisticians",,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,
Date of version: 12/19/18,,,,,,,
,,,,,,,
"Figure 2. Rate of violent victimization and violent victimization reported to police, 1993–2017",,,,,,,
,Violent victimization,,,,Violent victimization reported to police,,
,Upper bound,Rate of violent victimization,Lower bound,,Upper bound,Rate of violent victimization reported to police,Lower bound
'93,85.5,79.8,74,,37.8,33.8,29.9
'94,85.4,80,74.7,,35.6,32.4,29.2
'95,75.4,70.7,66,,32,28.9,25.8
'96,69.9,64.7,59.6,,29.3,26.1,22.9
'97,66.5,61.1,55.6,,29,25.6,22.2
'98,59.3,54.1,49,,27.8,24.6,21.3
'99,51.8,47.2,42.6,,23.2,20.3,17.4
'00,41.4,37.5,33.6,,19.9,17.2,14.6
'01,35.9,32.6,29.4,,18.2,16,13.7
'02,36.1,32.1,28,,19,16.3,13.5
'03,35.4,32.1,28.8,,17.6,15.2,12.9
'04,30.5,27.8,25.2,,16,14,12
'05,31.6,28.4,25.2,,15.1,13,10.9
'06,37.8,34.1,30.4,,18.2,15.9,13.6
'07,30.3,27.2,24.2,,14.4,12.2,10.1
'08,28.5,25.3,22.2,,13.8,11.8,9.7
'09,24.9,22.3,19.7,,11.9,9.8,7.8
'10,22.1,19.3,16.5,,11.8,9.9,7.9
'11,25.3,22.6,19.9,,13,11.1,9.2
'12,28.5,26.1,23.8,,13.2,11.5,9.8
13,26.3,23.2,20,,12.7,10.6,8.5
'14,22.5,20.1,17.7,,10.9,9.2,7.6
'15,20.8,18.6,16.3,,10.3,8.6,7
'16,21.5,19.7,17.8,,10,8.6,7.3
'17,22.6,20.6,18.6,,10.6,9.2,7.9
"Note: Estimates include 95% confidence intervals. See appendix table 2 for estimates and standard errors. Estimates for 2006 should not be compared to other years. See Criminal Victimization, 2007 (NCJ 224390, BJS web, December 2008) for information on changes to the 2006 National Crime Victimization Survey. ",,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993–2017 Public-Use File.",,,,,,,
