"Label","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","High school graduate or higher","Bachelor's degree or higher","Population 35 to 44 years","High school graduate or higher","Bachelor's degree or higher","Population 45 to 64 years","High school graduate or higher","Bachelor's degree or higher","Population 65 years and over","High school graduate or higher","Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"Willimantic, CT Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13,292","8.6%","33.4%","51.9%","6.1%","79,082","4.2%","8.2%","37.3%","18.5%","8.4%","13.8%","9.7%","87.6%","23.5%","13,175","88.1%","35.2%","14,833","91.4%","23.2%","35,064","90.0%","20.7%","16,010","78.3%","20.3%","","32.5%","6.7%","8.0%","4.0%","","35,438","27,325","32,758","32,605","40,042","59,380","","3.9%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,399","9.9%","35.0%","50.8%","4.3%","38,259","4.2%","9.4%","41.7%","17.1%","6.5%","13.3%","7.8%","86.4%","21.1%","6,598","84.3%","31.3%","7,391","90.4%","20.8%","17,434","88.7%","16.3%","6,836","78.3%","23.9%","","32.7%","4.8%","5.9%","4.7%","","40,773","27,155","39,603","40,275","40,948","81,609","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,893","7.3%","31.8%","53.0%","7.8%","40,823","4.2%","7.1%","33.1%","19.7%","10.1%","14.2%","11.5%","88.7%","25.7%","6,577","91.9%","39.0%","7,442","92.4%","25.7%","17,630","91.3%","24.9%","9,174","78.3%","17.7%","","32.3%","8.9%","9.5%","3.4%","","30,322","33,679","26,595","26,662","36,364","53,874","","(X)"
"Wilmington, NC Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","38,551","11.4%","29.7%","52.1%","6.8%","264,074","3.6%","7.2%","25.2%","23.0%","9.8%","20.0%","11.1%","89.2%","31.1%","46,756","88.3%","28.3%","45,719","90.0%","34.6%","104,774","91.7%","30.6%","66,825","85.2%","31.5%","","25.5%","15.0%","10.9%","3.2%","","30,492","16,664","25,598","27,692","41,020","49,897","","5.9%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19,512","15.3%","30.2%","48.1%","6.4%","126,208","3.9%","8.1%","26.3%","22.6%","8.1%","19.4%","11.6%","88.0%","31.0%","24,137","86.2%","23.9%","21,934","86.5%","29.5%","49,555","90.1%","30.2%","30,582","87.1%","39.1%","","21.9%","13.1%","10.1%","2.7%","","35,969","21,088","30,087","35,293","51,602","61,736","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19,039","7.5%","29.1%","56.2%","7.2%","137,866","3.4%","6.4%","24.3%","23.4%","11.3%","20.6%","10.6%","90.2%","31.2%","22,619","90.6%","33.1%","23,785","93.2%","39.3%","55,219","93.2%","30.9%","36,243","83.6%","25.0%","","29.5%","17.0%","11.5%","3.7%","","25,530","13,506","20,106","22,804","33,803","42,211","","(X)"
"Wilson, NC Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,863","21.0%","38.4%","30.4%","10.2%","55,235","7.3%","14.1%","33.9%","18.9%","9.0%","11.1%","5.7%","78.6%","16.8%","10,176","78.0%","17.6%","10,499","87.2%","13.0%","22,054","82.9%","18.3%","12,506","64.3%","16.8%","","38.4%","19.1%","15.6%","2.6%","","28,421","15,954","26,191","28,437","43,556","44,261","","4.7%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,281","26.4%","39.3%","31.7%","2.6%","25,405","9.0%","17.3%","35.4%","17.1%","7.2%","9.6%","4.4%","73.7%","14.0%","4,753","73.7%","10.0%","5,350","83.8%","13.9%","10,153","74.0%","13.1%","5,149","62.6%","19.5%","","29.5%","15.9%","16.2%","2.1%","","30,764","19,586","29,425","37,241","54,124","71,268","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,582","16.1%","37.5%","29.3%","17.1%","29,830","5.8%","11.4%","32.5%","20.5%","10.6%","12.4%","6.8%","82.8%","19.2%","5,423","81.8%","24.2%","5,149","90.8%","12.1%","11,901","90.4%","22.7%","7,357","65.5%","15.0%","","50.4%","22.0%","15.2%","2.8%","","25,518","6,367","18,691","26,344","38,784","38,775","","(X)"
"Winchester, VA-WV Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,742","14.3%","32.9%","44.4%","8.4%","88,320","6.8%","7.7%","34.7%","17.9%","7.5%","15.6%","9.7%","85.4%","25.4%","15,586","83.3%","32.3%","16,220","91.0%","26.5%","37,544","90.9%","25.2%","18,970","71.6%","19.1%","","21.3%","12.8%","6.8%","5.5%","","36,259","19,333","28,269","36,632","47,954","53,401","","3.9%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,540","16.7%","30.1%","46.8%","6.4%","43,544","8.5%","7.7%","34.7%","19.5%","4.4%","15.9%","9.3%","83.9%","25.2%","8,320","76.8%","25.6%","8,248","89.7%","24.3%","18,421","90.5%","25.3%","8,555","71.0%","25.4%","","19.6%","8.4%","5.6%","3.9%","","40,636","19,116","32,120","45,888","58,543","62,476","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,202","11.8%","35.9%","41.8%","10.5%","44,776","5.2%","7.8%","34.6%","16.3%","10.5%","15.4%","10.2%","87.0%","25.6%","7,266","90.7%","40.0%","7,972","92.4%","28.8%","19,123","91.4%","25.1%","10,415","72.2%","13.9%","","23.2%","17.2%","7.8%","7.2%","","30,990","22,727","23,566","29,591","37,415","52,010","","(X)"
"Winston-Salem, NC Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","46,346","20.0%","32.0%","38.8%","9.2%","325,184","6.3%","9.1%","28.3%","20.7%","7.0%","19.1%","9.5%","84.6%","28.7%","57,737","82.4%","30.2%","64,016","86.1%","30.9%","132,635","88.2%","30.4%","70,796","78.3%","22.1%","","30.5%","18.7%","15.6%","4.7%","","31,129","17,405","25,683","30,426","43,109","52,458","","4.7%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","21,740","25.2%","29.3%","38.0%","7.5%","152,974","7.2%","10.0%","29.3%","20.0%","5.6%","17.5%","10.4%","82.8%","27.9%","28,324","79.6%","25.7%","31,179","87.3%","27.4%","63,037","84.6%","28.7%","30,434","77.6%","28.9%","","25.0%","18.1%","13.0%","4.4%","","36,677","18,574","30,128","38,195","59,328","75,531","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","24,606","15.4%","34.4%","39.5%","10.7%","172,210","5.4%","8.4%","27.5%","21.3%","8.2%","20.5%","8.8%","86.2%","29.3%","29,413","85.1%","34.5%","32,837","84.9%","34.1%","69,598","91.5%","32.0%","40,362","78.9%","16.9%","","36.6%","19.1%","17.6%","4.9%","","26,623","14,880","20,648","24,542","37,664","45,573","","(X)"
"Wooster, OH Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,890","12.9%","41.2%","41.5%","4.4%","75,222","5.4%","7.9%","40.1%","16.2%","6.6%","14.5%","9.3%","86.7%","23.8%","12,774","83.2%","26.8%","13,253","90.8%","31.4%","31,382","89.9%","21.5%","17,813","80.4%","20.2%","","15.0%","11.8%","7.7%","4.0%","","31,575","23,503","27,580","31,726","35,372","55,177","","6.0%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,171","15.8%","41.8%","36.9%","5.5%","36,484","5.6%","8.7%","38.8%","17.0%","5.8%","13.8%","10.4%","85.7%","24.2%","6,505","83.5%","22.6%","6,642","89.4%","30.8%","15,471","88.5%","19.8%","7,866","79.0%","28.5%","","11.5%","12.1%","4.3%","3.4%","","40,390","32,774","36,273","44,174","42,338","60,868","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,719","9.9%","40.5%","46.4%","3.1%","38,738","5.3%","7.1%","41.3%","15.5%","7.4%","15.2%","8.3%","87.6%","23.5%","6,269","82.9%","31.2%","6,611","92.3%","31.9%","15,911","91.3%","23.1%","9,947","81.6%","13.7%","","18.8%","11.5%","10.9%","4.6%","","22,584","17,558","18,770","24,162","29,242","41,087","","(X)"
"Worcester, MA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","79,605","11.5%","31.3%","45.5%","11.7%","543,590","4.1%","6.0%","29.0%","18.3%","9.1%","20.4%","13.2%","89.9%","33.6%","95,555","92.2%","36.8%","106,991","92.3%","39.6%","233,026","91.9%","33.5%","108,018","81.1%","24.7%","","27.2%","12.7%","8.6%","3.7%","","42,513","20,668","31,998","40,079","56,662","71,425","","4.2%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","41,204","14.8%","34.5%","40.8%","9.9%","262,777","3.8%","6.5%","30.9%","17.7%","7.8%","20.2%","13.1%","89.7%","33.3%","47,855","90.4%","29.7%","52,679","91.6%","36.8%","115,762","91.4%","33.7%","46,481","82.6%","31.8%","","20.9%","11.1%","5.3%","3.3%","","51,104","24,186","38,427","49,425","70,811","88,018","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","38,401","8.1%","27.8%","50.6%","13.5%","280,813","4.3%","5.6%","27.2%","18.8%","10.3%","20.6%","13.3%","90.1%","33.8%","47,700","94.0%","44.0%","54,312","93.1%","42.3%","117,264","92.4%","33.3%","61,537","79.9%","19.4%","","33.2%","14.5%","11.3%","4.1%","","36,407","15,896","26,478","33,652","47,604","62,235","","(X)"
"Yakima, WA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","24,775","31.3%","41.1%","25.5%","2.1%","147,642","16.9%","12.4%","25.7%","22.5%","7.8%","8.7%","6.0%","70.7%","14.7%","32,394","72.1%","12.8%","29,713","62.0%","12.3%","55,366","75.1%","16.4%","30,169","69.5%","16.0%","","28.3%","15.6%","12.8%","4.7%","","25,857","17,412","22,889","31,384","42,162","56,991","","4.9%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13,010","37.6%","37.1%","24.3%","1.0%","72,662","19.7%","12.7%","26.6%","20.4%","6.9%","8.3%","5.5%","67.6%","13.8%","16,098","68.4%","9.8%","15,200","55.3%","11.3%","27,843","74.3%","15.2%","13,521","67.0%","18.5%","","20.5%","13.5%","12.0%","5.0%","","30,610","20,715","26,377","41,663","55,711","61,302","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,765","24.4%","45.5%","26.8%","3.3%","74,980","14.3%","12.2%","24.8%","24.5%","8.6%","9.1%","6.5%","73.6%","15.6%","16,296","75.8%","15.7%","14,513","69.0%","13.4%","27,523","75.9%","17.6%","16,648","71.6%","14.0%","","37.5%","17.7%","13.5%","4.5%","","20,988","12,647","19,383","26,233","37,516","53,787","","(X)"
"Yauco, PR Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,810","17.7%","30.2%","46.0%","6.0%","66,260","24.7%","11.0%","29.3%","10.4%","8.7%","13.3%","2.5%","64.3%","15.8%","12,319","74.2%","20.2%","12,274","79.6%","19.3%","25,728","67.7%","17.2%","15,939","39.2%","7.6%","","73.2%","56.5%","37.5%","19.0%","","15,107","8,501","13,079","16,647","23,766","31,823","","6.8%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,559","18.2%","32.6%","46.9%","2.3%","31,632","26.3%","13.3%","31.8%","9.7%","7.9%","8.6%","2.4%","60.4%","11.0%","6,334","69.2%","8.4%","6,233","71.5%","13.0%","11,689","63.1%","13.5%","7,376","39.0%","7.6%","","71.9%","50.2%","25.6%","7.1%","","14,384","8,480","12,927","19,463","27,247","100,263","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,251","17.2%","28.2%","45.2%","9.4%","34,628","23.2%","9.0%","27.0%","11.1%","9.4%","17.6%","2.6%","67.8%","20.3%","5,985","79.5%","32.6%","6,041","87.9%","25.8%","14,039","71.5%","20.3%","8,563","39.3%","7.7%","","74.7%","63.2%","46.9%","24.9%","","16,160","10,117","13,507","12,616","22,247","30,139","","(X)"
"York-Hanover, PA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","37,135","14.9%","41.5%","35.8%","7.8%","300,874","3.7%","8.8%","41.3%","16.6%","7.7%","14.0%","8.0%","87.5%","22.0%","50,966","89.9%","28.9%","58,043","91.9%","27.8%","126,406","90.4%","20.7%","65,459","76.1%","13.8%","","17.2%","8.7%","6.3%","2.2%","","37,132","25,339","30,908","38,409","51,051","62,094","","2.8%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19,056","14.4%","47.4%","31.6%","6.6%","145,759","4.1%","9.5%","41.3%","16.9%","7.2%","13.4%","7.7%","86.4%","21.1%","25,731","88.6%","22.8%","28,893","89.1%","26.2%","62,216","89.2%","20.0%","28,919","75.7%","16.9%","","14.3%","6.0%","4.1%","0.8%","","43,359","28,014","36,812","47,745","61,895","71,240","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","18,079","15.5%","35.2%","40.2%","9.1%","155,115","3.4%","8.1%","41.3%","16.2%","8.2%","14.5%","8.3%","88.5%","22.8%","25,235","91.1%","35.2%","29,150","94.7%","29.4%","64,190","91.5%","21.4%","36,540","76.4%","11.3%","","20.4%","11.2%","8.4%","3.3%","","30,384","15,927","23,835","30,462","40,552","56,307","","(X)"
"Youngstown-Warren-Boardman, OH-PA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","47,911","17.0%","35.1%","41.0%","6.9%","392,658","3.3%","7.9%","42.8%","20.0%","7.2%","12.8%","6.0%","88.7%","18.8%","59,005","86.5%","22.5%","64,337","91.9%","24.4%","165,379","92.2%","18.9%","103,937","82.4%","13.0%","","25.0%","12.8%","13.3%","4.8%","","29,926","19,681","24,225","29,838","41,738","52,218","","3.7%"
