"Label","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"Aberdeen, WA Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,606","23.8%","38.4%","36.3%","1.5%","50,542","4.4%","6.8%","31.6%","29.8%","12.2%","9.5%","5.7%","88.8%","15.2%","8,075","90.5%","11.3%","7,555","89.3%","21.4%","21,492","88.3%","14.4%","13,420","88.1%","15.4%","","28.8%","12.8%","17.6%","8.7%","","29,950","19,910","26,620","27,052","50,625","51,659","","9.1%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,281","34.8%","46.7%","18.5%","0.0%","25,654","4.2%","7.9%","32.7%","29.3%","12.0%","8.9%","5.0%","87.9%","14.0%","4,228","86.3%","8.6%","3,945","92.5%","17.7%","11,121","85.9%","11.6%","6,360","89.6%","19.3%","","26.9%","11.5%","17.3%","4.3%","","34,759","26,394","30,204","34,737","70,545","77,639","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,325","8.2%","26.8%","61.5%","3.6%","24,888","4.7%","5.6%","30.5%","30.4%","12.4%","10.1%","6.3%","89.7%","16.5%","3,847","95.1%","14.2%","3,610","85.9%","25.4%","10,371","90.9%","17.5%","7,060","86.8%","11.8%","","30.9%","14.0%","17.9%","12.3%","","24,371","15,474","20,825","21,858","42,945","39,682","","(X)"
"Abilene, TX Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","22,229","13.4%","29.9%","48.4%","8.3%","106,094","5.2%","8.7%","31.1%","26.6%","6.8%","15.4%","6.2%","86.1%","21.6%","24,768","86.5%","22.0%","18,384","91.2%","20.5%","38,681","85.0%","21.4%","24,261","83.3%","22.6%","","24.9%","15.2%","12.2%","6.0%","","30,601","20,540","25,902","31,548","40,414","56,963","","6.5%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,215","17.2%","28.2%","45.7%","8.9%","53,292","4.9%","10.5%","32.7%","24.5%","6.6%","14.6%","6.2%","84.5%","20.8%","13,665","81.3%","17.3%","9,957","90.2%","15.5%","19,133","83.8%","24.0%","10,537","84.7%","24.6%","","15.9%","12.5%","6.2%","3.9%","","36,590","23,682","30,630","42,543","47,626","69,139","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
