"Label","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","High school graduate or higher","Bachelor's degree or higher","Population 35 to 44 years","High school graduate or higher","Bachelor's degree or higher","Population 45 to 64 years","High school graduate or higher","Bachelor's degree or higher","Population 65 years and over","High school graduate or higher","Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"Aberdeen, WA Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,454","26.2%","37.2%","33.5%","3.1%","51,086","7.7%","9.8%","30.7%","26.2%","9.8%","11.4%","4.4%","82.5%","15.8%","8,311","78.4%","7.0%","8,673","89.5%","13.2%","22,448","82.9%","21.1%","11,654","79.5%","13.8%","","21.9%","12.4%","7.8%","5.5%","","29,154","19,393","23,389","28,294","40,526","54,265","","5.5%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,320","22.7%","44.2%","33.1%","0.0%","26,292","10.5%","9.2%","33.4%","24.3%","8.2%","10.5%","4.0%","80.4%","14.5%","4,483","84.0%","3.5%","4,864","88.9%","8.6%","11,393","78.0%","20.0%","5,552","74.8%","17.0%","","14.2%","8.7%","6.8%","5.0%","","36,460","21,627","33,789","36,787","52,857","60,754","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,134","29.9%","29.8%","34.0%","6.4%","24,794","4.7%","10.5%","27.8%","28.3%","11.5%","12.3%","4.9%","84.8%","17.2%","3,828","71.8%","11.1%","3,809","90.3%","19.1%","11,055","88.0%","22.1%","6,102","83.7%","10.8%","","32.1%","16.5%","8.6%","6.0%","","22,346","15,016","16,921","24,865","30,098","50,604","","(X)"
"Abilene, TX Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","21,809","13.6%","27.8%","44.5%","14.2%","104,387","6.8%","10.8%","27.8%","27.5%","6.3%","13.4%","7.5%","82.4%","20.9%","22,066","85.2%","22.8%","20,129","82.0%","18.5%","40,135","83.1%","20.2%","22,057","78.8%","22.4%","","23.8%","15.3%","12.4%","4.4%","","26,964","18,780","23,871","26,054","37,143","50,649","","5.8%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
