Incident,City,Appox. Location,Date,Link,,,,,
Police pepper sprayed him despite wearing media badge,"Detroit, MI",,5/30/2020,https://www.indiewire.com/2020/06/journalists-covering-protests-attacked-arrested-by-police-1202234683/,,,,,
Charged at by police while trying to put on goggles to protect from tear gas,"Detroit, MI",,5/31/2020,https://www.detroitnews.com/story/news/local/detroit-city/2020/05/31/detroit-news-reporter-detained-other-journalists-say-they-were-shoved-detroit-officers-during-protes/5304445002/,,,,,
"Assaulted by police, phone thrown, glasses broken","Detroit, MI",,6/2/2020,https://docs.google.com/spreadsheets/d/1zk9oFDJ3Ocbz80Z1ISSW4Sd5xv1vQTj_tF8KCbPsZxs/edit,,,,,
"Hit by a dozen pellets to her face and body, leaving welts and narrowly missing her eye","Detroit, MI",,5/31/2020,https://www.mlive.com/news/ann-arbor/2020/05/mlive-photographer-among-journalists-fired-upon-with-pellets-by-detroit-police-officer-during-protest-coverage.html,,,,,
Police kicked chemical cannister at her,"Devner, CO",,5/31/2020,https://twitter.com/LEFendt/status/1266953418871984128,,,,,
Tear gassed and hit with multiple bean rounds by police,"Eugene, OR",,6/1/2020,https://twitter.com/hwhouston1/status/1267338971291373568,,,,,
Threatened by police with loaded pepper ball gun,"Indianapolis, IN",,5/29/2020,https://twitter.com/ericweddle/status/1266564799384649728,,,,,
Tear gassed by police,"Kansas City, MO",,5/31/2020,https://twitter.com/McKenzieMNelson/status/1266957797268357120,,,,,
Tear gassed by police,"Kansas City, MO",,5/31/2020,https://twitter.com/McKenzieMNelson/status/1266957797268357120,,,,,
Tear gassed by police,"Kansas City, MO",,5/31/2020,https://twitter.com/McKenzieMNelson/status/1266957797268357120,,,,,
Hit by multiple projectiles by police,"La Mesa, CA",,5/30/2020,https://www.insider.com/police-arrest-and-brutalize-journalists-covering-george-floyd-protests-2020-5,,,,,
"Arrested for ""failure to disperse."" Released.","Las Vegas, NV",,5/30/2020,https://www.reviewjournal.com/local/the-strip/2-photojournalists-including-review-journal-staffer-arrested-covering-george-floyd-protest-2039655/,,,,,
Shot by police with projectiles,"Las Vegas, NV",,5/31/2020,https://twitter.com/Shea_LVRJ/status/1267302566435491840,,,,,
"Arrested for ""failure to disperse"" while shouting ""I’m a journalist."" Released.","Las Vegas, NV",,5/30/2020,https://www.reviewjournal.com/local/the-strip/2-photojournalists-including-review-journal-staffer-arrested-covering-george-floyd-protest-2039655/,,,,,
Police shot pepper bullets at him,"Las Vegas, NV",,5/31/2020,https://twitter.com/riolacanlale/status/1266976276968992768,,,,,
Police shot pepper bullets at her,"Las Vegas, NV",,5/31/2020,https://twitter.com/riolacanlale/status/1266976276968992768,,,,,
"Shot by police three or four times in ankle, leg, and buttocks with projectiles","Las Vegas, NV",,5/31/2020,https://twitter.com/Shea_LVRJ/status/1267302566435491840,,,,,
"Briefly detained under curfew order despite identifying himself as press, pushed to ground in separate incedent","Lincoln, NE",,5/31/2020,https://journalstar.com/news/local/crime-and-courts/watch-now-journal-star-reporter-detained-some-protesters-arrested-in-downtown-lincoln-after-curfew/article_9e01944e-3867-5d2e-b7bf-19165cb266cf.html,,,,,
Detained by police,"Little Rock, AR",,6/2/2020,https://katv.com/news/local/4th-night-of-protests-at-arkansas-state-capitol,,,,,
"Attacked by protesters, suffered broken nose and black eye","Little Rock, AR",,6/2/2020,https://twitter.com/HoltDemGazette/status/1267825613009633285,,,,,
Detained by police after identifying herself as press,"Little Rock, AR",,6/2/2020,https://katv.com/news/local/4th-night-of-protests-at-arkansas-state-capitol,,,,,
Detained by police after identifying herself as press,"Little Rock, AR",,6/2/2020,https://katv.com/news/local/4th-night-of-protests-at-arkansas-state-capitol,,,,,
Shot by police with rubber bullet to the throat,"Long Beach, CA",,5/31/2020,https://www.bbc.com/news/world-us-canada-52880970,,,,,
Arrested for violating curfew even though he is press,"Los Angeles, CA",,6/2/2020,https://docs.google.com/spreadsheets/d/1zk9oFDJ3Ocbz80Z1ISSW4Sd5xv1vQTj_tF8KCbPsZxs/edit,,,,,
Arrested for violating curfew even though he is press,"Los Angeles, CA",,6/2/2020,https://docs.google.com/spreadsheets/d/1zk9oFDJ3Ocbz80Z1ISSW4Sd5xv1vQTj_tF8KCbPsZxs/edit,,,,,
Hit in stomach by police with baton after identifying himself as press,"Los Angeles, CA",,5/31/2020,https://www.insider.com/police-arrest-and-brutalize-journalists-covering-george-floyd-protests-2020-5,,,,,
Arrested for failure to disperese,"Los Angeles, CA",,5/30/2020,https://docs.google.com/spreadsheets/d/1zk9oFDJ3Ocbz80Z1ISSW4Sd5xv1vQTj_tF8KCbPsZxs/edit,,,,,
Arrested and detained by police,"Los Angeles, CA",,6/2/2020,https://docs.google.com/spreadsheets/d/1zk9oFDJ3Ocbz80Z1ISSW4Sd5xv1vQTj_tF8KCbPsZxs/edit,,,,,
Arrested and detained for photographing the riots,"Los Angeles, CA",,6/2/2020,https://www.gq-magazine.co.uk/politics/article/george-floyd-protest-photos,,,,,
"Pushed by police after identifying herself as press, hit head on fire hydrant","Los Angeles, CA",,5/31/2020,https://twitter.com/Photospice/status/1267155396541550593,,,,,
Hit by rubber bullets fired by police,"Los Angeles, CA",,5/30/2020,https://www.washingtonpost.com/lifestyle/media/journalists-at-several-protests-were-injured-arrested-by-police-while-trying-to-cover-the-story/2020/05/31/bfbc322a-a342-11ea-b619-3f9133bbb482_story.html,,,,,
Shot by rubber bullet,"Los Angeles, CA",,5/30/2020,https://www.insider.com/police-arrest-and-brutalize-journalists-covering-george-floyd-protests-2020-5,,,,,
"Police shot rubber bullet damaging camera, which was raised to his face","Los Angeles, CA",,5/30/2020,https://twitter.com/luissinco/status/1266683997913927680,,,,,
"Tear gassed, hit with baton, had car window shot out by police","Los Angeles, CA",,5/30/2020,https://twitter.com/TinaDesireeBerg/status/1266922413591105536,,,,,
Arrested,"Los Angeles, CA",,5/31/2020,https://twitter.com/aaron_con_choco/status/1267185920995807233,,,,,
Police fired rubber bullets after identified himself as press,"Los Angeles, CA",,5/30/2020,https://twitter.com/jintakhan/status/1266918983598354432,,,,,
Shoved twice by police with batons,"Louisville, KY",,5/31/2020,https://www.usatoday.com/story/news/nation/2020/05/31/journalists-blinded-injured-arrested-covering-george-floyd-protests/5299374002/,,,,,
Shot at with pepper balls by police while broadcasting,"Louisville, KY",,5/29.2020,https://pressfreedomtracker.us/all-incidents/news-crew-struck-pepper-balls-live-tv-while-documenting-louisville-protests/,,,,,
Shot with rubber bullets,"Louisville, KY",,5/31/2020,https://twitter.com/_nullifidius/status/1266984480788660229,,,,,
Shot at with pepper balls by police while broadcasting,"Louisville, KY",,5/29.2020,https://pressfreedomtracker.us/all-incidents/news-crew-struck-pepper-balls-live-tv-while-documenting-louisville-protests/,,,,,
Teargassed by police without warning,"Louisville, KY",,5/30/2020,https://www.insider.com/police-arrest-and-brutalize-journalists-covering-george-floyd-protests-2020-5,,,,,
Tear-gassed and pepper-sprayed by police,"Madison, WI",,5/31/2020,https://www.usatoday.com/story/news/nation/2020/05/31/journalists-blinded-injured-arrested-covering-george-floyd-protests/5299374002/,,,,,
Tear-gassed and pepper-sprayed by police,"Madison, WI",,5/31/2020,https://www.usatoday.com/story/news/nation/2020/05/31/journalists-blinded-injured-arrested-covering-george-floyd-protests/5299374002/,,,,,
Police pointed weapon at head and would not lower it after identified as press,"Minneapolis, MN",,5/30/2020,https://twitter.com/madeleinebaran/status/1266610933071138816,,,,,
Police pointed weapon at head and would not lower it after identified as press,"Minneapolis, MN",,5/30/2020,https://twitter.com/madeleinebaran/status/1266610933071138816,,,,,
Shot with rubber bullet in an already cleared area,"Minneapolis, MN",,5/30/2020,https://www.insider.com/police-arrest-and-brutalize-journalists-covering-george-floyd-protests-2020-5,,,,,
Hit by rubber bullets fired by police without warning,"Minneapolis, MN",,5/31/2020,https://www.insider.com/police-arrest-and-brutalize-journalists-covering-george-floyd-protests-2020-5,,,,,
Police open fired rubbet bullets at him and his crew without warning,"Minneapolis, MN",,5/31/2020,https://www.indiewire.com/2020/06/journalists-covering-protests-attacked-arrested-by-police-1202234683/,,,,,
"Arrested, hit by rubber bullets","Minneapolis, MN",,5/29/2020,https://pressfreedomtracker.us/all-incidents/cnn-news-crew-arrested-air-while-documenting-minneapolis-protests/,,,,,
"Arrested, camera seized, hit by rubber bullets","Minneapolis, MN",,5/29/2020,https://pressfreedomtracker.us/all-incidents/cnn-news-crew-arrested-air-while-documenting-minneapolis-protests/,,,,,
Hit with tear gas by police,"Minneapolis, MN",,5/30/2020,https://www.cnn.com/videos/us/2020/05/30/marquez-minneapolis-tear-gas-police-bts-cpt-vpx.cnn,,,,,
Arrested while broadcasting,"Minneapolis, MN",,5/29/2020,https://pressfreedomtracker.us/all-incidents/cnn-news-crew-arrested-air-while-documenting-minneapolis-protests/,,,,,
Sprayed with chemicals by police after identifying himself as press,"Minneapolis, MN",,5/28/2020,https://www.usatoday.com/story/news/nation/2020/05/31/journalists-blinded-injured-arrested-covering-george-floyd-protests/5299374002/,,,,,
Shot with projectiles by police while preparing to broadcast,"Minneapolis, MN",,5/31/2020,https://www.bbc.com/news/world-us-canada-52880970,,,,,
Arrested,"Minneapolis, MN",,5/30/2020,https://docs.google.com/spreadsheets/d/1zk9oFDJ3Ocbz80Z1ISSW4Sd5xv1vQTj_tF8KCbPsZxs/edit,,,,,
"Police shot her in the upper thigh by a projectile, leaving a deep welt","Minneapolis, MN",,5/30/2020,https://www.insider.com/police-arrest-and-brutalize-journalists-covering-george-floyd-protests-2020-5,,,,,
"Police pointed weapons at her and told her to ""shut up"" and ""I wanna fucking peg you""","Minneapolis, MN",,5/30/2020,https://www.insider.com/police-arrest-and-brutalize-journalists-covering-george-floyd-protests-2020-5,,,,,
Arrested,"Minneapolis, MN",,5/30/2020,https://docs.google.com/spreadsheets/d/1zk9oFDJ3Ocbz80Z1ISSW4Sd5xv1vQTj_tF8KCbPsZxs/edit,,,,,
Struck in eye with crowd control round and tear gassed by police,"Minneapolis, MN",,5/27/2020,https://pressfreedomtracker.us/all-incidents/journalists-hit-less-lethal-rounds-during-second-day-minnesota-protests/,,,,,
Blinded in one eye by tracker or marker round,"Minneapolis, MN",,5/30/2020,https://pressfreedomtracker.us/all-incidents/freelance-photojournalist-permanently-blinded-others-assaulted-during-minneapolis-protests/,,,,,
Pushed over wall by police while trying to flee,"Minneapolis, MN",,5/30/2020,https://twitter.com/edouphoto/status/1267981849537609728,,,,,
"Shot in chest with rubbet rubblet by police, tires slashed","Minneapolis, MN",,6/2/2020,https://twitter.com/bentaub91/status/1267822887076892684,,,,,
Arrested,"Minneapolis, MN",,5/30/2020,https://docs.google.com/spreadsheets/d/1zk9oFDJ3Ocbz80Z1ISSW4Sd5xv1vQTj_tF8KCbPsZxs/edit,,,,,
"Pepper sprayed by police, hit by tear gas and rubber bullet","Minneapolis, MN",,5/29/2020,https://pressfreedomtracker.us/all-incidents/freelance-photojournalist-permanently-blinded-others-assaulted-during-minneapolis-protests/,,,,,
Threatened at gunpoint by man in crowd,"Minneapolis, MN",,5/30/2020,https://twitter.com/devphotoK11/status/1266927932989222917,,,,,
Tear gassed and pepper sprayed by police,"Minneapolis, MN",,5/30/2020,https://twitter.com/ryanraiche/status/1266919035033264130,,,,,
Tear gassed and pepper sprayed by police,"Minneapolis, MN",,5/30/2020,https://twitter.com/ryanraiche/status/1266919035033264130,,,,,
Tear gassed and pepper sprayed by police,"Minneapolis, MN",,5/30/2020,https://twitter.com/ryanraiche/status/1266919035033264130,,,,,
"Attacked by police, leaving her with black eyes","Minneapolis, MN",,5/31/2020,https://twitter.com/Carolyn_Cole/status/1267203545763381250,,,,,
Hit at point-blank range by tear gas and projectiles after identifying herself as press,"Minneapolis, MN",,5/30/2020,https://www.insider.com/police-arrest-and-brutalize-journalists-covering-george-floyd-protests-2020-5,,,,,
Hit in thigh by blue foam projectile by police,"Minneapolis, MN",,5/26/2020,https://pressfreedomtracker.us/all-incidents/journalists-struck-projectiles-while-covering-minneapolis-protest/,,,,,
Tackled by police after identifying himself as press,"Minneapolis, MN",,5/30/2020,https://twitter.com/nicola_imfeld/status/1266580948847558659,,,,,
had a gun pointed at her head by police until she identified herself as press,"Minneapolis, MN",,5/30/2020,https://cpj.org/2020/06/at-least-125-press-freedom-violations-reported-over-3-days-of-us-protests/,,,,,
Struck in chest by police with rubber bullet ,"Minneapolis, MN",,5/27/2020,https://pressfreedomtracker.us/all-incidents/journalists-hit-less-lethal-rounds-during-second-day-minnesota-protests/,,,,,
“Physically yanked away” by police ,"Minneapolis, MN",,5/27/2020,https://pressfreedomtracker.us/all-incidents/journalists-hit-less-lethal-rounds-during-second-day-minnesota-protests/,,,,,
Shot with rubbet bullets by police after identifying himself as press,"Minneapolis, MN",,5/30/2020,https://www.indiewire.com/2020/06/journalists-covering-protests-attacked-arrested-by-police-1202234683/,,,,,
Narrowly avoided explosive device,"Minneapolis, MN",,5/31/2020,https://twitter.com/safimichael/status/1267078793056878594,,,,,
"Hit by tear gas, pepper spray, and concussion grenades by police","Minneapolis, MN",,5/30/2020,https://cpj.org/2020/06/at-least-125-press-freedom-violations-reported-over-3-days-of-us-protests/,,,,,
Pepper sprayed and arrested after identifying himself as press to muliple officers,"Minneapolis, MN",,5/31/2020,https://www.insider.com/police-arrest-and-brutalize-journalists-covering-george-floyd-protests-2020-5,,,,,
"Police deliberately fired a canister of green powder at him, hitting his torso.","Minneapolis, MN",,5/29/2020,https://pressfreedomtracker.us/all-incidents/freelance-photojournalist-permanently-blinded-others-assaulted-during-minneapolis-protests/,,,,,
Hit with tear gas by police,"Minneapolis, MN",,5/30/2020,https://twitter.com/N_Waters89/status/1267048392611561472,,,,,
Shoved to ground by police on camera,"Minneapolis, MN",,5/31/2020,https://twitter.com/phil_leblancSRC/status/1266907398003924992,,,,,
Tear gassed by police,"Minneapolis, MN",,5/30/2020,https://twitter.com/raphaelgrand/status/1266913238932959234,,,,,
Shot with rubber bullets,"Minneapolis, MN",,5/30/2020,https://www.reuters.com/article/us-minneapolis-police-protest-update/reuters-cameraman-hit-by-rubber-bullets-as-police-disperse-protesters-idUSKBN237050,,,,,
Shot with rubber bullets,"Minneapolis, MN",,5/30/2020,https://www.reuters.com/article/us-minneapolis-police-protest-update/reuters-cameraman-hit-by-rubber-bullets-as-police-disperse-protesters-idUSKBN237050,,,,,
Pepper sprayed by police,"Minneapolis, MN",,5/30/2020,https://news.yahoo.com/alarm-mixed-glee-world-glued-190503768.html,,,,,
"Car was shot at by marker rounds, told press credentials were ""bullshit"" by police","Minneapolis, MN",,5/31/2020,https://twitter.com/RyanFaircloth/status/1266954131324928003,,,,,
"Teargassed, shot by a rubber bullet, and ordered to hit the ground at gunpoint twice by police","Minneapolis, MN",,5/31/2020,https://www.insider.com/police-arrest-and-brutalize-journalists-covering-george-floyd-protests-2020-5,,,,,
"Car was shot at by marker rounds, shattering his window, which cut his arm","Minneapolis, MN",,5/31/2020,https://twitter.com/RyanFaircloth/status/1266954131324928003,,,,,
Hit in backpack by police despite holding up press credential,"Minneapolis, MN",,5/30/2020,https://twitter.com/AndrewBuncombe/status/1266911306889789440,,,,,
Shot with less lethal weapon by police,"Minneapolis, MN",,5/29/2020,https://twitter.com/Julio_Rosas11/status/1266539093908959232,,,,,
Hit with nonlethal rounds by police,"Minneapolis, MN",,6/1/2020,https://twitter.com/LionelDonovan3/status/1267477984300208128,,,,,
Shoved by Minnesota National Guardsmen and threatened with arrest,"Minneapolis, MN",,5/30/2020,https://pressfreedomtracker.us/all-incidents/freelance-photojournalist-permanently-blinded-others-assaulted-during-minneapolis-protests/,,,,,
"Hit in arm by projectile, breaking the skin","Minneapolis, MN",,5/26/2020,https://pressfreedomtracker.us/all-incidents/journalists-struck-projectiles-while-covering-minneapolis-protest/,,,,,
Reporter struck multiple times in the throat by an officer carrying a baton,"Minneapolis, MN",,5/26/2020,https://pressfreedomtracker.us/all-incidents/journalists-struck-projectiles-while-covering-minneapolis-protest/,,,,,
Cameraman wearing press helmet shot with projectile by police,"Minneapolis, MN",,5/30/2020,https://twitter.com/bubbaprog/status/1266912774833287169,,,,,
Hit with tear gas,"Minneapolis, MN",,5/30/2020,https://www.vg.no/nyheter/utenriks/i/3Jy0Gd/aggressivt-og-kaotisk-i-minneapolis-politiet-skjoet-gummikuler-mot-journalister-fra-norge-og-sverige,,,,,
Arrested for breaking curfew after showing press credential,"Minneapolis, MN",,5/31/2020,https://www.wsj.com/articles/reports-of-violence-against-journalists-mount-as-u-s-protests-intensify-11591056337,,,,,
Forced to ground and pepper sprayed by police after identifying himself as press,"Minneapolis, MN",,5/30/2020,https://www.vice.com/en_us/article/y3zd7g/i-told-riot-cops-im-a-journalist-they-forced-me-to-the-ground-and-pepper-sprayed-me-in-the-face,,,,,
Tear gassed by police,"Minneapolis, MN",,5/27/2020,https://pressfreedomtracker.us/all-incidents/journalists-hit-less-lethal-rounds-during-second-day-minnesota-protests/,,,,,
Had to run for cover while being shot at by police,"Minneapolis, MN",,5/31/2020,https://twitter.com/CathyWurzer/status/1267271631233323008,,,,,
Shot with a rubber bullet in the leg and arrested,"Minneapolis, MN",,5/31/2020,https://www.insider.com/police-arrest-and-brutalize-journalists-covering-george-floyd-protests-2020-5,,,,,
"Police surrounded, yelled expletives at, and shoved her","New York, NY",,6/3/2020,https://apnews.com/1d2d9e4afdd822b27bfcce570e0cbdb5,,,,,
"Police surrounded, yelled expletives at, and shoved him","New York, NY",,6/3/2020,https://apnews.com/1d2d9e4afdd822b27bfcce570e0cbdb5,,,,,
Arrested after identifying himself as press,"New York, NY",,5/30/2020,https://www.indiewire.com/2020/06/journalists-covering-protests-attacked-arrested-by-police-1202234683/,,,,,
Arrested and spent 10 hours in custody despite showing press credential,"New York, NY",,5/31/2020,https://twitter.com/agrayphoto/status/1267225004439207936,,,,,
"""Violently"" arrested by police","New York, NY",,5/30/2020,https://www.huffpost.com/entry/huffpost-reporter-chris-mathias-arrested_n_5ed320d9c5b640cb8341c921,,,,,
Hit with baton by police,"New York, NY",,5/31/2020,https://twitter.com/Noah__Goldberg/status/1267285022031130625,,,,,
Police rushed him with riot shields despite being credentialed and compliant,"New York, NY",,5/31/2020,https://twitter.com/PLBarghouty/status/1266922618122354690,,,,,
Arrested under curfew law,"New York, NY",,6/2/2020,https://www.rebelnews.com/save_anna_slatz,,,,,
Police rushed her with riot shields despite being credentialed and compliant,"New York, NY",,5/31/2020,https://twitter.com/PLBarghouty/status/1266922618122354690,,,,,
"Clubbed by police who took his bike, saying “go the fuck home... it’s not your bike anymore”","New York, NY",,6/3/2020,https://twitter.com/ArminRosen/status/1268350880115458051,,,,,
Police hit him in the face with riot shields and pushed to ground while credential visible,"New York, NY",,5/31/2020,https://twitter.com/tylergabriel_/status/1267287516345925632,,,,,
Shot with projectiles by police,"Oakland, CA",,5/31/2020,https://twitter.com/SarahBelleLin/status/1266980899301683200,,,,,
Tear gassed,"Oakland, CA",,5/31/2020,https://docs.google.com/spreadsheets/d/1zk9oFDJ3Ocbz80Z1ISSW4Sd5xv1vQTj_tF8KCbPsZxs/edit,,,,,
Handcuffed while wearing press badge,"Oakland, CA",,6/1/2020,https://twitter.com/KatieKPIX/status/1267664384160960512,,,,,
Teargassed and arrested,"Omaha, NE",,6/1/2020,https://docs.google.com/spreadsheets/d/1zk9oFDJ3Ocbz80Z1ISSW4Sd5xv1vQTj_tF8KCbPsZxs/edit,,,,,
Tackled by police after identifying himself as press,"Omaha, NE",,6/1/2020,https://twitter.com/Maya_Reports/status/1267633522807910400,,,,,
Detained despite identifying himself as press,"Philadelphia, PA",,6/2/2020,https://twitter.com/Jeff_Neiburg/status/1267628515761041413,,,,,
Detained despite identifying herself as press,"Philadelphia, PA",,6/2/2020,https://twitter.com/Jeff_Neiburg/status/1267628515761041413,,,,,
Hit with baton by police,"Philadelphia, PA",,5/31/2020,https://twitter.com/N_Waters89/status/1267111737800691712,,,,,
Arrested for walking to car past curfew despite wearing press pass,"Philadelphia, PA",,6/1/2020,https://twitter.com/newskag/status/1267638088597110785,,,,,
Attacked by police with baton after identifying himself as press,"Philadelphia, PA",,5/30/2020,https://www.indiewire.com/2020/06/journalists-covering-protests-attacked-arrested-by-police-1202234683/,,,,,
Arrested after identifying himself as press,"Philadelphia, PA",,5/31/2020,https://whyy.org/articles/whyy-reporter-arrested-while-covering-philadelphia-protest/,,,,,
"Teargassed, choked, and slammed into wall by police after identifying himself as press","Portland, OR",,6/3/2020,https://twitter.com/TheRealCoryElia/status/1268071609920716802,,,,,
Police fired tear gas at him while wearing a press pass,"Raleigh, NC",,5/30/2020,https://twitter.com/safimichael/status/1267399568418844673,,,,,
Hit with rubber bullet by police,"Raleigh, NC",,5/31/2020,https://twitter.com/vizjourno/status/1266954106998009857,,,,,
Chased and arrested for 10 hours by police who didn't read him rights,"Richmond, VA",,6/1/2020,https://twitter.com/Vahn16/status/1267479022457565186,,,,,
Pepper sprayed and pushed to ground by police,"Richmond, VA",,5/31/2020,https://twitter.com/ByRobertoR/status/1267264167314182144,,,,,
Forced to ground by police at gunpoint,"Richmond, VA",,6/1/2020,https://twitter.com/OliviaNBC12/status/1267326052428328961,,,,,
Hit with wooden bullet by police,"San Antonio, TX",,6/2/2020,https://docs.google.com/spreadsheets/d/1zk9oFDJ3Ocbz80Z1ISSW4Sd5xv1vQTj_tF8KCbPsZxs/edit,,,,,
